Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
kia,sportage,2011.0,1.8,diesel,automatic,92188.0,2.0,4.0,8856.0
audi,a3,2022.0,3.3,electric,manual,79350.0,5.0,3.0,14413.0
bmw,3 series,2017.0,2.3,electric,semi-automatic,142701.0,5.0,3.0,10645.0
bmw,3 series,2020.0,4.7,electric,semi-automatic,210767.0,3.0,3.0,12584.0
chevrolet,equinox,2013.0,1.9,hybrid,automatic,121816.0,4.0,4.0,9963.0
hyundai,tucson,2007.0,3.9,electric,automatic,213643.0,4.0,5.0,9327.0
volkswagen,passat,2008.0,3.5,electric,manual,88381.0,3.0,1.0,10232.0
chevrolet,impala,2017.0,2.3,petrol,automatic,183619.0,5.0,1.0,9327.0
mercedes,gla,2013.0,3.3,electric,semi-automatic,80184.0,3.0,5.0,11696.0
toyota,corolla,2010.0,3.2,diesel,automatic,132454.0,4.0,4.0,9150.0
kia,optima,2005.0,4.5,petrol,manual,18590.0,2.0,5.0,9728.0
audi,q5,2013.0,3.5,hybrid,semi-automatic,263411.0,4.0,1.0,7231.0
kia,sportage,2000.0,1.4,electric,manual,167050.0,5.0,4.0,4159.0
ford,fiesta,2017.0,2.2,hybrid,manual,277363.0,2.0,4.0,6852.0
audi,a4,2004.0,1.0,petrol,manual,94415.0,2.0,1.0,4411.0
ford,focus,2004.0,1.2,electric,manual,93645.0,3.0,3.0,6627.0
bmw,5 series,2007.0,4.9,petrol,manual,120491.0,2.0,1.0,8690.0
honda,civic,2000.0,3.9,hybrid,manual,56020.0,2.0,4.0,7879.0
toyota,rav4,2003.0,3.9,electric,automatic,131868.0,5.0,3.0,9762.0
audi,q5,2023.0,3.6,electric,manual,238306.0,5.0,2.0,11833.0
ford,focus,2011.0,2.3,diesel,automatic,255372.0,5.0,5.0,6092.0
audi,a4,2009.0,2.4,diesel,manual,263797.0,2.0,5.0,3924.0
hyundai,elantra,2006.0,2.8,electric,manual,110280.0,3.0,3.0,8494.0
audi,a3,2009.0,1.2,electric,automatic,111448.0,5.0,1.0,9271.0
mercedes,gla,2013.0,1.9,petrol,manual,205005.0,2.0,2.0,5799.0
mercedes,e-class,2004.0,4.9,petrol,semi-automatic,175273.0,3.0,5.0,6694.0
mercedes,gla,2022.0,3.8,diesel,manual,191466.0,3.0,2.0,10670.0
ford,focus,2008.0,1.8,electric,semi-automatic,280713.0,3.0,1.0,4685.0
honda,civic,2015.0,2.6,electric,semi-automatic,66777.0,5.0,1.0,11864.0
kia,optima,2020.0,3.2,electric,manual,88070.0,3.0,5.0,13538.0
bmw,3 series,2011.0,2.9,electric,semi-automatic,281020.0,3.0,5.0,6679.0
chevrolet,impala,2017.0,1.8,diesel,semi-automatic,22175.0,2.0,2.0,10556.0
volkswagen,passat,2003.0,2.0,electric,manual,287728.0,3.0,3.0,3245.0
hyundai,sonata,2007.0,3.6,electric,automatic,102907.0,3.0,3.0,11241.0
honda,civic,2005.0,2.4,petrol,automatic,60316.0,2.0,5.0,8293.0
toyota,camry,2008.0,1.3,petrol,automatic,188097.0,2.0,2.0,5538.0
ford,fiesta,2004.0,4.0,diesel,automatic,85348.0,3.0,3.0,9093.0
ford,focus,2015.0,4.8,electric,automatic,100603.0,4.0,2.0,14887.0
mercedes,c-class,2007.0,2.7,hybrid,manual,147310.0,5.0,2.0,6953.0
mercedes,gla,2011.0,4.0,diesel,manual,140263.0,4.0,5.0,8594.0
volkswagen,passat,2005.0,3.2,electric,semi-automatic,155550.0,5.0,4.0,7689.0
volkswagen,golf,2000.0,4.0,hybrid,manual,237232.0,4.0,5.0,4355.0
ford,fiesta,2002.0,4.0,hybrid,semi-automatic,272351.0,3.0,3.0,4252.0
kia,optima,2008.0,4.6,petrol,manual,164879.0,2.0,4.0,7802.0
hyundai,tucson,2018.0,2.8,petrol,manual,160349.0,4.0,3.0,9093.0
hyundai,elantra,2007.0,1.5,diesel,manual,30793.0,5.0,1.0,7084.0
bmw,3 series,2019.0,1.9,electric,automatic,6745.0,2.0,1.0,15065.0
toyota,camry,2007.0,4.9,hybrid,manual,23217.0,2.0,4.0,11635.0
kia,sportage,2017.0,2.7,hybrid,automatic,242456.0,2.0,5.0,9550.0
hyundai,sonata,2017.0,1.3,hybrid,automatic,152123.0,5.0,5.0,9957.0
honda,cr-v,2022.0,3.4,diesel,automatic,248894.0,5.0,2.0,10622.0
mercedes,gla,2007.0,2.3,electric,manual,76458.0,3.0,5.0,8970.0
bmw,x5,2017.0,3.9,hybrid,semi-automatic,2020.0,3.0,2.0,14059.0
hyundai,sonata,2018.0,2.0,hybrid,automatic,121567.0,4.0,4.0,11568.0
volkswagen,golf,2023.0,3.5,petrol,semi-automatic,139477.0,2.0,5.0,11710.0
ford,fiesta,2007.0,4.5,electric,manual,53088.0,3.0,2.0,11638.0
volkswagen,tiguan,2020.0,1.7,petrol,automatic,195565.0,2.0,5.0,9388.0
audi,a4,2004.0,4.8,hybrid,semi-automatic,141850.0,3.0,2.0,8263.0
honda,civic,2020.0,4.6,petrol,manual,191397.0,3.0,4.0,10872.0
hyundai,tucson,2015.0,1.6,electric,manual,259533.0,2.0,4.0,7009.0
mercedes,c-class,2015.0,4.1,petrol,automatic,197249.0,3.0,1.0,10255.0
volkswagen,passat,2007.0,3.8,electric,manual,272609.0,4.0,5.0,6547.0
ford,focus,2013.0,1.1,diesel,manual,294516.0,4.0,1.0,3209.0
kia,sportage,2001.0,2.9,diesel,manual,258813.0,4.0,5.0,2123.0
toyota,corolla,2014.0,4.1,petrol,automatic,17100.0,5.0,5.0,13558.0
kia,optima,2017.0,4.6,diesel,manual,197307.0,3.0,1.0,9853.0
bmw,x5,2007.0,4.2,petrol,automatic,129851.0,3.0,4.0,9302.0
mercedes,e-class,2011.0,1.8,diesel,semi-automatic,261247.0,3.0,4.0,3975.0
audi,q5,2016.0,2.5,electric,semi-automatic,121855.0,5.0,5.0,10962.0
bmw,3 series,2011.0,2.6,petrol,manual,107928.0,4.0,2.0,7841.0
volkswagen,passat,2011.0,4.7,petrol,automatic,203960.0,5.0,3.0,9520.0
bmw,5 series,2009.0,3.0,electric,manual,17260.0,5.0,5.0,11454.0
audi,a3,2022.0,3.8,electric,semi-automatic,275109.0,2.0,5.0,10997.0
toyota,corolla,2016.0,2.8,hybrid,semi-automatic,203314.0,3.0,3.0,8633.0
toyota,corolla,2014.0,2.8,hybrid,automatic,190214.0,5.0,2.0,9795.0
ford,explorer,2013.0,5.0,electric,automatic,188195.0,5.0,3.0,12736.0
audi,a4,2010.0,2.0,hybrid,manual,228204.0,3.0,4.0,5535.0
bmw,5 series,2001.0,2.3,diesel,semi-automatic,66264.0,2.0,1.0,5374.0
toyota,camry,2022.0,4.5,electric,semi-automatic,162696.0,4.0,2.0,13946.0
chevrolet,malibu,2005.0,2.2,diesel,manual,191462.0,2.0,4.0,3970.0
honda,accord,2001.0,4.0,diesel,manual,8958.0,5.0,1.0,8220.0
hyundai,elantra,2012.0,2.6,hybrid,manual,11213.0,5.0,5.0,11075.0
honda,accord,2003.0,3.8,electric,semi-automatic,236022.0,3.0,2.0,6079.0
chevrolet,equinox,2019.0,3.9,hybrid,semi-automatic,13333.0,5.0,1.0,14433.0
mercedes,c-class,2023.0,4.6,electric,semi-automatic,274137.0,2.0,3.0,12117.0
volkswagen,passat,2010.0,3.4,diesel,manual,8662.0,4.0,3.0,10326.0
bmw,3 series,2018.0,2.3,electric,semi-automatic,99243.0,3.0,3.0,11815.0
ford,fiesta,2013.0,3.5,hybrid,semi-automatic,167809.0,2.0,3.0,9143.0
honda,cr-v,2018.0,3.0,hybrid,semi-automatic,180938.0,4.0,3.0,9881.0
mercedes,c-class,2018.0,4.0,petrol,manual,66347.0,3.0,2.0,12173.0
honda,civic,2007.0,1.4,petrol,manual,279031.0,5.0,3.0,2019.0
chevrolet,equinox,2013.0,2.8,petrol,manual,63430.0,4.0,5.0,9531.0
bmw,3 series,2014.0,2.1,petrol,manual,191744.0,5.0,1.0,6565.0
mercedes,e-class,2023.0,3.9,hybrid,semi-automatic,58107.0,3.0,2.0,14737.0
bmw,x5,2002.0,4.5,diesel,manual,86763.0,2.0,5.0,7464.0
volkswagen,golf,2020.0,3.8,diesel,automatic,257521.0,3.0,3.0,10249.0
toyota,corolla,2013.0,4.0,diesel,manual,213052.0,4.0,4.0,7738.0
bmw,3 series,2017.0,1.9,petrol,semi-automatic,117943.0,2.0,4.0,8741.0
volkswagen,tiguan,2008.0,4.5,electric,semi-automatic,178837.0,3.0,4.0,9423.0
toyota,corolla,2002.0,3.9,diesel,semi-automatic,281616.0,2.0,3.0,2967.0
chevrolet,malibu,2013.0,1.4,diesel,automatic,131485.0,3.0,5.0,8270.0
audi,a4,2013.0,3.9,electric,manual,21399.0,5.0,3.0,13472.0
mercedes,c-class,2020.0,3.7,petrol,semi-automatic,148489.0,3.0,5.0,10830.0
chevrolet,equinox,2017.0,3.1,electric,manual,189399.0,5.0,4.0,10512.0
volkswagen,tiguan,2008.0,3.5,petrol,semi-automatic,179107.0,2.0,3.0,6417.0
volkswagen,passat,2015.0,4.7,diesel,manual,220366.0,5.0,1.0,8892.0
kia,optima,2020.0,4.7,petrol,manual,132200.0,2.0,1.0,12156.0
chevrolet,impala,2009.0,1.8,diesel,automatic,151249.0,4.0,1.0,7075.0
chevrolet,impala,2009.0,2.0,petrol,manual,184695.0,5.0,1.0,5106.0
volkswagen,golf,2001.0,4.1,petrol,automatic,32602.0,3.0,4.0,9347.0
audi,a3,2013.0,3.2,electric,manual,253611.0,2.0,4.0,8127.0
toyota,rav4,2020.0,4.3,hybrid,manual,187223.0,5.0,3.0,11655.0
mercedes,e-class,2004.0,3.0,hybrid,manual,232438.0,3.0,3.0,4651.0
toyota,camry,2019.0,4.7,petrol,manual,114139.0,5.0,4.0,12217.0
toyota,rav4,2004.0,1.3,electric,automatic,79437.0,4.0,4.0,8511.0
honda,accord,2019.0,2.2,diesel,manual,127801.0,5.0,5.0,9443.0
toyota,camry,2002.0,1.5,petrol,automatic,23115.0,2.0,1.0,7237.0
kia,optima,2010.0,3.9,petrol,automatic,26930.0,3.0,3.0,11961.0
toyota,rav4,2021.0,2.1,petrol,manual,289967.0,4.0,3.0,6700.0
ford,focus,2001.0,3.2,petrol,manual,42064.0,2.0,3.0,6758.0
hyundai,sonata,2018.0,3.5,electric,manual,233614.0,4.0,2.0,10327.0
ford,explorer,2023.0,4.1,electric,automatic,67072.0,4.0,3.0,17258.0
bmw,x5,2017.0,2.5,electric,manual,256380.0,2.0,1.0,8572.0
mercedes,c-class,2010.0,1.9,petrol,semi-automatic,159546.0,2.0,4.0,5809.0
mercedes,e-class,2014.0,3.8,electric,semi-automatic,5877.0,5.0,5.0,13982.0
hyundai,tucson,2002.0,4.9,hybrid,automatic,33244.0,2.0,2.0,11435.0
chevrolet,impala,2013.0,4.8,petrol,manual,206381.0,4.0,4.0,8672.0
honda,civic,2016.0,4.0,diesel,automatic,175833.0,3.0,5.0,10883.0
hyundai,tucson,2005.0,3.6,petrol,semi-automatic,157073.0,2.0,1.0,6058.0
bmw,3 series,2015.0,2.9,electric,automatic,131766.0,2.0,3.0,12364.0
ford,explorer,2001.0,2.2,petrol,manual,18630.0,3.0,5.0,6227.0
audi,a4,2015.0,2.1,diesel,automatic,54522.0,3.0,5.0,11109.0
mercedes,gla,2013.0,1.4,electric,semi-automatic,231290.0,3.0,3.0,6774.0
kia,optima,2000.0,3.7,electric,manual,166776.0,2.0,2.0,6464.0
audi,a3,2002.0,4.0,diesel,manual,16302.0,5.0,2.0,8373.0
audi,q5,2015.0,2.9,hybrid,semi-automatic,252824.0,3.0,1.0,7443.0
kia,sportage,2007.0,1.2,hybrid,automatic,269614.0,3.0,4.0,4507.0
kia,sportage,2000.0,2.8,electric,semi-automatic,264697.0,2.0,5.0,3606.0
honda,cr-v,2014.0,4.0,petrol,manual,287926.0,5.0,2.0,6541.0
audi,a3,2001.0,1.8,petrol,automatic,43196.0,5.0,2.0,6836.0
toyota,rav4,2001.0,4.5,diesel,semi-automatic,279971.0,3.0,1.0,3300.0
hyundai,sonata,2009.0,1.0,petrol,manual,286745.0,2.0,5.0,2065.0
mercedes,c-class,2011.0,2.3,electric,semi-automatic,885.0,3.0,2.0,11682.0
honda,civic,2013.0,3.5,hybrid,semi-automatic,93273.0,2.0,4.0,10634.0
bmw,x5,2004.0,3.7,diesel,semi-automatic,110947.0,3.0,2.0,6781.0
honda,cr-v,2018.0,1.2,petrol,manual,166808.0,5.0,2.0,7363.0
audi,q5,2022.0,3.8,diesel,automatic,186035.0,4.0,3.0,12279.0
ford,fiesta,2005.0,1.0,hybrid,semi-automatic,68819.0,2.0,3.0,6223.0
chevrolet,impala,2018.0,3.7,petrol,semi-automatic,157181.0,5.0,2.0,10056.0
mercedes,c-class,2007.0,3.9,petrol,semi-automatic,97350.0,3.0,3.0,8153.0
volkswagen,passat,2016.0,3.5,diesel,manual,271497.0,5.0,4.0,6970.0
toyota,rav4,2013.0,4.3,electric,semi-automatic,225452.0,4.0,5.0,9790.0
kia,optima,2010.0,3.8,petrol,automatic,51040.0,5.0,2.0,11379.0
volkswagen,golf,2012.0,4.2,electric,semi-automatic,7544.0,2.0,5.0,13749.0
chevrolet,equinox,2009.0,2.6,hybrid,semi-automatic,264411.0,3.0,1.0,5111.0
bmw,x5,2012.0,4.3,petrol,manual,153919.0,5.0,2.0,8921.0
honda,cr-v,2010.0,1.7,petrol,manual,115344.0,2.0,5.0,6493.0
kia,rio,2009.0,2.9,diesel,semi-automatic,106781.0,3.0,2.0,7564.0
hyundai,sonata,2011.0,1.0,petrol,manual,279545.0,2.0,3.0,2809.0
hyundai,sonata,2020.0,1.7,petrol,manual,11757.0,3.0,1.0,11564.0
audi,q5,2014.0,2.4,petrol,semi-automatic,230787.0,3.0,1.0,6084.0
hyundai,elantra,2020.0,3.7,hybrid,automatic,216478.0,2.0,1.0,11970.0
mercedes,c-class,2003.0,2.6,diesel,semi-automatic,134567.0,5.0,2.0,4908.0
mercedes,c-class,2006.0,4.5,electric,manual,162852.0,2.0,3.0,9142.0
bmw,3 series,2023.0,3.9,hybrid,semi-automatic,112480.0,2.0,2.0,13650.0
kia,optima,2017.0,1.9,electric,automatic,60780.0,2.0,1.0,13384.0
honda,cr-v,2012.0,3.2,diesel,automatic,21520.0,4.0,4.0,11969.0
bmw,5 series,2017.0,2.1,diesel,automatic,199006.0,3.0,3.0,8819.0
chevrolet,equinox,2006.0,2.0,hybrid,automatic,11585.0,5.0,4.0,10168.0
chevrolet,equinox,2009.0,2.8,electric,manual,79962.0,3.0,2.0,10000.0
volkswagen,golf,2014.0,3.9,electric,automatic,95537.0,4.0,2.0,13789.0
mercedes,gla,2021.0,4.3,diesel,manual,229873.0,4.0,2.0,10102.0
toyota,rav4,2006.0,1.3,hybrid,manual,195129.0,4.0,5.0,4297.0
chevrolet,impala,2011.0,4.0,hybrid,automatic,136926.0,5.0,1.0,11161.0
ford,focus,2003.0,3.2,petrol,semi-automatic,85005.0,3.0,1.0,6499.0
audi,a4,2017.0,2.7,electric,automatic,172248.0,3.0,2.0,11955.0
volkswagen,golf,2017.0,4.3,petrol,automatic,179528.0,2.0,5.0,11409.0
hyundai,sonata,2014.0,2.3,electric,manual,1752.0,4.0,2.0,12564.0
mercedes,gla,2008.0,3.2,electric,manual,25557.0,5.0,4.0,11188.0
bmw,5 series,2007.0,3.9,hybrid,automatic,211162.0,5.0,5.0,8376.0
audi,a3,2014.0,4.0,petrol,automatic,182364.0,5.0,5.0,10152.0
hyundai,sonata,2010.0,1.6,petrol,automatic,112946.0,2.0,5.0,7941.0
ford,focus,2009.0,2.1,petrol,automatic,122067.0,4.0,4.0,7958.0
toyota,rav4,2008.0,3.5,electric,semi-automatic,296747.0,3.0,1.0,6065.0
bmw,5 series,2018.0,2.8,petrol,semi-automatic,23722.0,5.0,5.0,11825.0
hyundai,elantra,2000.0,1.8,petrol,manual,161487.0,3.0,5.0,2670.0
ford,focus,2009.0,4.1,petrol,automatic,99562.0,5.0,2.0,10408.0
kia,optima,2018.0,1.9,electric,manual,107386.0,5.0,4.0,11252.0
volkswagen,golf,2021.0,4.0,diesel,automatic,32991.0,5.0,3.0,15240.0
audi,a3,2017.0,1.7,diesel,manual,156940.0,4.0,2.0,7761.0
toyota,camry,2007.0,2.2,diesel,manual,87444.0,4.0,4.0,6651.0
bmw,5 series,2009.0,1.4,petrol,manual,232049.0,3.0,2.0,3559.0
ford,focus,2009.0,1.2,hybrid,automatic,114668.0,2.0,4.0,8206.0
toyota,camry,2017.0,4.8,electric,semi-automatic,297176.0,4.0,2.0,10056.0
hyundai,sonata,2011.0,4.1,hybrid,semi-automatic,138965.0,4.0,4.0,9720.0
volkswagen,tiguan,2006.0,4.4,petrol,automatic,251894.0,2.0,4.0,6762.0
toyota,corolla,2006.0,2.8,diesel,semi-automatic,174551.0,4.0,5.0,5208.0
bmw,5 series,2011.0,3.0,petrol,automatic,260151.0,5.0,1.0,6696.0
chevrolet,malibu,2006.0,2.8,petrol,manual,253372.0,2.0,4.0,3632.0
mercedes,gla,2010.0,1.9,hybrid,manual,99563.0,3.0,5.0,8008.0
ford,fiesta,2014.0,3.9,electric,automatic,267949.0,3.0,2.0,10341.0
bmw,x5,2010.0,4.6,diesel,manual,79663.0,5.0,5.0,10106.0
toyota,rav4,2013.0,3.5,electric,automatic,85640.0,3.0,4.0,13287.0
mercedes,e-class,2001.0,4.4,hybrid,automatic,1937.0,4.0,4.0,11261.0
ford,fiesta,2014.0,3.2,petrol,automatic,253316.0,3.0,5.0,7933.0
mercedes,e-class,2007.0,3.2,diesel,semi-automatic,203452.0,2.0,4.0,5330.0
hyundai,elantra,2022.0,4.2,electric,manual,181600.0,3.0,3.0,13268.0
bmw,x5,2002.0,2.9,petrol,manual,296864.0,4.0,2.0,2000.0
kia,sportage,2014.0,1.4,hybrid,semi-automatic,262641.0,4.0,1.0,5447.0
audi,q5,2023.0,4.7,electric,automatic,222000.0,3.0,3.0,14760.0
ford,focus,2006.0,4.6,petrol,automatic,98002.0,5.0,4.0,10039.0
kia,sportage,2000.0,3.4,hybrid,manual,131933.0,4.0,1.0,5861.0
bmw,x5,2001.0,4.6,diesel,manual,287045.0,4.0,4.0,3259.0
chevrolet,malibu,2008.0,2.5,petrol,semi-automatic,215987.0,5.0,3.0,4680.0
honda,cr-v,2009.0,2.8,diesel,manual,201403.0,3.0,5.0,5571.0
bmw,3 series,2021.0,3.9,petrol,manual,263073.0,4.0,3.0,9038.0
audi,a3,2021.0,4.4,diesel,semi-automatic,91956.0,2.0,2.0,12960.0
kia,sportage,2021.0,1.3,hybrid,manual,197902.0,5.0,5.0,8741.0
toyota,rav4,2006.0,1.0,diesel,automatic,107474.0,4.0,5.0,6250.0
bmw,5 series,2011.0,1.1,diesel,automatic,178039.0,3.0,1.0,6439.0
bmw,5 series,2009.0,4.0,electric,automatic,84645.0,2.0,2.0,12607.0
kia,optima,2020.0,4.1,hybrid,semi-automatic,118504.0,2.0,4.0,12829.0
honda,accord,2009.0,2.7,petrol,manual,217224.0,4.0,5.0,5155.0
toyota,camry,2002.0,2.6,petrol,automatic,118041.0,3.0,4.0,6439.0
audi,a4,2020.0,4.3,diesel,semi-automatic,186962.0,3.0,5.0,10660.0
mercedes,gla,2023.0,1.3,electric,semi-automatic,78961.0,5.0,2.0,12720.0
mercedes,gla,2010.0,1.0,hybrid,manual,296156.0,5.0,1.0,3176.0
toyota,rav4,2019.0,2.0,petrol,automatic,232074.0,3.0,5.0,8658.0
ford,explorer,2001.0,2.3,electric,manual,38542.0,5.0,2.0,7929.0
bmw,x5,2010.0,2.9,diesel,automatic,295058.0,5.0,1.0,5598.0
toyota,camry,2013.0,2.2,hybrid,manual,262285.0,4.0,4.0,5954.0
ford,explorer,2008.0,3.9,electric,semi-automatic,225838.0,5.0,3.0,7883.0
chevrolet,equinox,2023.0,3.0,hybrid,automatic,230795.0,5.0,4.0,11884.0
chevrolet,malibu,2008.0,2.5,petrol,manual,94729.0,5.0,3.0,7105.0
mercedes,c-class,2022.0,3.1,petrol,automatic,282199.0,2.0,2.0,9656.0
audi,a3,2006.0,2.6,diesel,automatic,282423.0,5.0,5.0,4351.0
mercedes,c-class,2004.0,4.0,diesel,manual,191859.0,3.0,5.0,5462.0
ford,fiesta,2004.0,2.2,hybrid,automatic,256459.0,4.0,5.0,4870.0
kia,sportage,2021.0,2.1,electric,semi-automatic,74107.0,5.0,4.0,13017.0
volkswagen,golf,2019.0,3.9,petrol,manual,230974.0,5.0,3.0,9080.0
bmw,5 series,2016.0,1.7,petrol,manual,56150.0,3.0,1.0,9477.0
mercedes,c-class,2010.0,4.7,diesel,semi-automatic,256100.0,3.0,2.0,6678.0
volkswagen,golf,2006.0,2.7,hybrid,automatic,9512.0,2.0,1.0,10909.0
audi,a3,2011.0,4.8,petrol,automatic,80241.0,2.0,3.0,12095.0
audi,a4,2021.0,4.7,diesel,semi-automatic,150713.0,2.0,4.0,12085.0
audi,q5,2018.0,1.7,electric,semi-automatic,207019.0,2.0,3.0,9059.0
audi,a3,2023.0,3.2,petrol,semi-automatic,163039.0,3.0,3.0,10939.0
toyota,corolla,2000.0,2.0,diesel,manual,145101.0,3.0,5.0,3197.0
ford,focus,2016.0,1.4,petrol,semi-automatic,278559.0,5.0,4.0,4728.0
hyundai,elantra,2017.0,4.2,diesel,automatic,269154.0,3.0,2.0,9516.0
kia,sportage,2010.0,2.3,petrol,manual,62065.0,2.0,2.0,8158.0
audi,q5,2023.0,1.9,diesel,manual,52679.0,5.0,3.0,11846.0
toyota,camry,2014.0,1.0,petrol,manual,177766.0,3.0,2.0,5744.0
honda,civic,2007.0,1.6,electric,manual,158154.0,3.0,4.0,6636.0
chevrolet,impala,2021.0,1.3,electric,automatic,52051.0,5.0,1.0,14158.0
toyota,camry,2023.0,1.5,diesel,manual,117049.0,2.0,5.0,10159.0
toyota,camry,2000.0,1.8,electric,automatic,271405.0,4.0,4.0,3971.0
hyundai,sonata,2010.0,2.6,hybrid,semi-automatic,260006.0,3.0,3.0,5499.0
toyota,rav4,2012.0,1.7,petrol,manual,234785.0,3.0,1.0,4704.0
kia,optima,2009.0,1.6,electric,automatic,222076.0,5.0,4.0,7458.0
volkswagen,passat,2002.0,1.8,petrol,manual,194835.0,3.0,3.0,2603.0
ford,focus,2013.0,2.0,diesel,automatic,145970.0,2.0,2.0,8580.0
ford,fiesta,2011.0,1.4,hybrid,automatic,30785.0,4.0,3.0,10684.0
audi,q5,2015.0,3.7,diesel,semi-automatic,57196.0,3.0,1.0,11156.0
kia,sportage,2019.0,4.0,diesel,semi-automatic,50680.0,3.0,4.0,12786.0
toyota,rav4,2001.0,4.7,diesel,semi-automatic,230052.0,2.0,3.0,4498.0
honda,civic,2019.0,4.2,petrol,manual,273193.0,2.0,4.0,8536.0
hyundai,elantra,2003.0,4.4,hybrid,semi-automatic,169451.0,2.0,2.0,7010.0
bmw,x5,2020.0,2.2,electric,automatic,286174.0,4.0,5.0,10076.0
chevrolet,malibu,2004.0,4.9,diesel,manual,242712.0,5.0,4.0,5345.0
hyundai,elantra,2014.0,3.4,electric,manual,227371.0,4.0,5.0,9152.0
kia,optima,2002.0,1.7,diesel,manual,79442.0,4.0,2.0,4811.0
toyota,corolla,2005.0,3.2,petrol,automatic,29885.0,2.0,2.0,9702.0
volkswagen,tiguan,2008.0,4.3,diesel,semi-automatic,261478.0,4.0,5.0,5570.0
kia,optima,2010.0,1.2,petrol,automatic,170847.0,4.0,4.0,6383.0
bmw,x5,2001.0,4.1,electric,semi-automatic,87221.0,5.0,4.0,8755.0
mercedes,c-class,2014.0,2.9,petrol,manual,217980.0,4.0,4.0,6840.0
volkswagen,passat,2010.0,4.1,electric,automatic,71288.0,5.0,2.0,13274.0
bmw,5 series,2016.0,4.5,diesel,manual,91092.0,2.0,1.0,11578.0
honda,civic,2020.0,4.4,petrol,semi-automatic,24913.0,3.0,3.0,14001.0
kia,sportage,2000.0,4.2,hybrid,semi-automatic,155444.0,3.0,5.0,6191.0
mercedes,e-class,2014.0,2.5,electric,semi-automatic,171683.0,3.0,2.0,9366.0
honda,cr-v,2015.0,4.8,diesel,automatic,295428.0,3.0,5.0,8991.0
volkswagen,golf,2010.0,3.9,petrol,automatic,207380.0,2.0,5.0,8352.0
mercedes,c-class,2012.0,1.5,electric,automatic,89226.0,5.0,5.0,10915.0
bmw,3 series,2001.0,4.6,hybrid,manual,79217.0,4.0,4.0,8415.0
mercedes,e-class,2010.0,3.3,diesel,automatic,297971.0,2.0,3.0,5940.0
ford,fiesta,2011.0,3.5,diesel,semi-automatic,178950.0,2.0,3.0,7321.0
audi,a3,2017.0,3.4,electric,automatic,148880.0,3.0,5.0,13122.0
honda,accord,2013.0,1.7,petrol,semi-automatic,23936.0,4.0,4.0,9221.0
audi,q5,2002.0,2.1,electric,manual,68076.0,4.0,1.0,7438.0
chevrolet,malibu,2015.0,2.9,diesel,automatic,144743.0,2.0,3.0,10105.0
kia,rio,2014.0,4.4,diesel,semi-automatic,90279.0,3.0,5.0,10894.0
audi,a3,2018.0,2.5,diesel,semi-automatic,56429.0,2.0,1.0,10871.0
audi,a3,2014.0,2.9,diesel,automatic,1197.0,2.0,5.0,12676.0
mercedes,c-class,2021.0,1.9,petrol,automatic,200177.0,2.0,2.0,9796.0
chevrolet,malibu,2022.0,3.0,diesel,manual,5679.0,2.0,4.0,13586.0
